Titles,Subtitle,Link,Data Headline
FOUR REAL?,'Unrealistic' Ten Hag urged Utd to sign 4 stars including Liverpool ace & Kane,https://www.thesun.co.uk/sport/31388803/erik-ten-hag-man-utd-four-stars-harry-kane/, 'Unrealistic' Ten Hag urged Utd to sign 4 stars including Liverpool ace & Kane
RU BEAUTY,"'I like Amorim as a person and manager,' says Mourinho amid Man Utd boss links",https://www.thesun.co.uk/sport/31386205/jose-mourinho-ruben-amorim-man-utd/," 'I like Amorim as a person and manager,' says Mourinho amid Man Utd boss links"
TALK OF THE DEVILS,'Ten Prem managers could have done a better job than Ten Hag at Man Utd',https://www.thesun.co.uk/sport/31410300/ten-hag-sacked-replacement-man-utd-sheringham/, 'Ten Prem managers could have done a better job than Ten Hag at Man Utd'
TREND IT LIKE BECKHAM,Inside mad world of Inter Miami that's changing football forever,https://www.thesun.co.uk/sport/31400516/inter-miami-david-beckham-lionel-messi/, Inside mad world of Inter Miami that's changing football forever
UPPING THE ANT-E,Man Utd 'transfer list Antony as Ratcliffe & Co refuse to wait for Amorim',https://www.thesun.co.uk/sport/31390165/man-utd-transfer-antony-ten-hag-amorim/, Man Utd 'transfer list Antony as Ratcliffe & Co refuse to wait for Amorim'
SCORING GOALS,‘I’m bedding a player from every Prem club.. I already have a hat trick',https://www.thesun.co.uk/sport/31404394/elsa-thora-sleeping-with-premier-league-players/, ‘I’m bedding a player from every Prem club.. I already have a hat trick'
WREX APPEAL,Wrexham announce MASSIVE financial boost as family worth £1.6bn invest in club,https://www.thesun.co.uk/sport/31413458/wrexham-ryan-reynolds-rob-mcelhenney-financial-boost-family-invest/, Wrexham announce MASSIVE financial boost as family worth £1.6bn invest in club
CAMPER,"Win a VW Campervan plus £10k or £50,000 cash from just 22p with our discount",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/," Win a VW Campervan plus £10k or £50,000 cash from just 22p with our discount"
GONE SOUTH,"Inside National League club's abandoned 17,000-seater 'hotel-stadium' plans",https://www.thesun.co.uk/sport/31390622/southend-abandoned-stadium-fossetts-farm/," Inside National League club's abandoned 17,000-seater 'hotel-stadium' plans"
DAV THAT,Fans joke 'thought it was Bobby Davro' as Declan Rice poses with Arsenal legend,https://www.thesun.co.uk/sport/31414495/fans-joke-bobby-davro-declan-rice-picture-arsenal/, Fans joke 'thought it was Bobby Davro' as Declan Rice poses with Arsenal legend
FAMILY GOALS,England legend's two sons both play for Man City as eldest scores screamer,https://www.thesun.co.uk/sport/31405052/man-city-emile-heskey-jaden-reigan-brother/, England legend's two sons both play for Man City as eldest scores screamer
NOT AS IT SEEMS,'My Prem team-mate was catfishing fans... I can't believe they fell for it',https://www.thesun.co.uk/sport/31414068/peter-crouch-stoke-catfishing-fans/, 'My Prem team-mate was catfishing fans... I can't believe they fell for it'
MOUR TO COME,Jose jokes he could manage Championship side 'across the bridge from my house',https://www.thesun.co.uk/sport/31392658/jose-mourinho-millwall-manager-chelsea-man-utd-tottenham/, Jose jokes he could manage Championship side 'across the bridge from my house'
YOU'RE WELCOME,talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/, talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football
TOTELY GREAT,Get £40 welcome bonus when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/, Get £40 welcome bonus when you stake £10 on football with Tote
MEGA MGM,Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM,https://www.thesun.co.uk/sport/28311103/betmgm-free-bets-football-bonus-offer/, Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM
SPOOKY SEASON,'Arrest me' - Madelene Wright sends fans wild as sexy cop for Halloween,https://www.thesun.co.uk/sport/31406259/madelene-wright-football-halloween-glam/, 'Arrest me' - Madelene Wright sends fans wild as sexy cop for Halloween
FEEL THE BURN,Tottenham star refuses to rule out strike action over player burnout,https://www.thesun.co.uk/sport/31409074/davies-tottenham-rodri-manchester-city-player-burnout/, Tottenham star refuses to rule out strike action over player burnout
NEW DEFENCE,Inside football stadium that once sat 8ft under water before innovative rebuild,https://www.thesun.co.uk/sport/31399816/gloucester-city-stadium-under-water-flood-rebuild/, Inside football stadium that once sat 8ft under water before innovative rebuild
VERY FOND OF HIM,"Prem cult hero, 37, lands first job with Man City while still playing",https://www.thesun.co.uk/sport/31403492/premier-league-cult-hero-first-job-man-city-utd/," Prem cult hero, 37, lands first job with Man City while still playing"
ROLEY,"Win a stunning Rolex or £12,500 cash alternative from just 76p with our discount",https://www.thesun.co.uk/sport/18922011/win-watch-7dp/," Win a stunning Rolex or £12,500 cash alternative from just 76p with our discount"
UPTURN,Haaland and Salah only forwards who average more points-per-game than Jackson,https://www.thesun.co.uk/sport/football/dream-team/31258055/nicolas-jackson-points-fantasy-football-premier-league-chelsea/, Haaland and Salah only forwards who average more points-per-game than Jackson
TOP GUN,Bukayo Saka's evolution into creative juggernaut sets him apart from rivals,https://www.thesun.co.uk/sport/football/dream-team/30912365/bukayo-saka-assists-chances-created-fantasy-football-arsenal/, Bukayo Saka's evolution into creative juggernaut sets him apart from rivals
QUIDS IN,"7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!",https://www.thesun.co.uk/sport/football/dream-team/29884801/fantasy-football-prizes-score-predictor-last-man-standing/," 7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!"
DOUBLE DEAL,Mr Vegas bonus: Get 100% up to £200 on your first deposit PLUS 11 free spins,https://www.thesun.co.uk/betting/31316567/mr-vegas-welcome-bonus-offer-free-spins-deposit/, Mr Vegas bonus: Get 100% up to £200 on your first deposit PLUS 11 free spins
CROWN DUELZ,Duelz Casino: Sign up for a £100 bonus and 100 free spins this November,https://www.thesun.co.uk/betting/31309930/duelz-casino-sign-up-bonus-free-spins/, Duelz Casino: Sign up for a £100 bonus and 100 free spins this November
SPIN KING,MrQ casino: Claim 5 free spins PLUS 30 more free spins on your first deposit,https://www.thesun.co.uk/betting/31308730/mr-q-casino-free-spins/, MrQ casino: Claim 5 free spins PLUS 30 more free spins on your first deposit
GOING DUTCH,Ten Hag's worst XI of Man Utd signings cost £300m as manager is finally sacked,https://www.thesun.co.uk/sport/31354686/ten-hag-man-utd-signings-sacked/, Ten Hag's worst XI of Man Utd signings cost £300m as manager is finally sacked
MO LIKE IT,Liverpool fighting Chelsea for £50m-rated ‘new Salah’ who’s outscoring Kane,https://www.thesun.co.uk/sport/31329303/liverpool-chelsea-mo-salah-omar-marmoush/, Liverpool fighting Chelsea for £50m-rated ‘new Salah’ who’s outscoring Kane
AL AT SEA,"Man Utd target Davies, valued at £42m, speaks out on becoming free agent",https://www.thesun.co.uk/sport/31337051/man-utd-transfer-target-alphonso-davies-breaks-silence-future/," Man Utd target Davies, valued at £42m, speaks out on becoming free agent"
FRENCH FANCY,Man Utd and Arsenal ‘go head to head for cut price £33m Kolo Muani transfer',https://www.thesun.co.uk/sport/31395111/randal-kolo-muani-man-utd-arsenal-transfer/, Man Utd and Arsenal ‘go head to head for cut price £33m Kolo Muani transfer'
NEW BAL GAME,Mario Balotelli arrives to join 12th club of wild career on free transfer,https://www.thesun.co.uk/sport/31347344/mario-balotelli-arrives-genoa-free-transfer/, Mario Balotelli arrives to join 12th club of wild career on free transfer
DUTCH COURAGE,Arsenal icon's daughter wears custom leather jacket version of iconic shirt,https://www.thesun.co.uk/sport/31410138/arsenal-bergkamp-jacket-invincibles/, Arsenal icon's daughter wears custom leather jacket version of iconic shirt
CREAM RISES,Former Liverpool striker now runs ice cream shop selling award-winning granita,https://www.thesun.co.uk/sport/31309802/liverpool-krisztian-adorjan-ice-cream-shop/, Former Liverpool striker now runs ice cream shop selling award-winning granita
NAP TIME,"Premier League cult hero, 38, appointed manager of Ayia Napa FC in shock move",https://www.thesun.co.uk/sport/31392051/jason-puncheon-manager-ayia-napa-fc/," Premier League cult hero, 38, appointed manager of Ayia Napa FC in shock move"
BOWEN ARROW,Bowen joins exclusive club of players to get three Prem managers sacked,https://www.thesun.co.uk/sport/31395750/jarrod-bowen-managers-sacked-ten-hag/, Bowen joins exclusive club of players to get three Prem managers sacked
VERY HAAL-THY,Kyle Walker reveals unusual foods 'high maintenance' Erling Haaland eats,https://www.thesun.co.uk/sport/31395550/kyle-walker-foods-erling-haaland-eats-man-city/, Kyle Walker reveals unusual foods 'high maintenance' Erling Haaland eats
TROY DEENEY,There is NO Arsenal agenda - reds have been stupid and petulant… it's worrying,https://www.thesun.co.uk/sport/31319906/troy-deeney-arsenal-red-cards-no-conspiracy/, There is NO Arsenal agenda - reds have been stupid and petulant… it's worrying
KARREN BRADY,Football isn’t broken and Starmer’s plan to fix it will create more problems,https://www.thesun.co.uk/sport/31320000/karren-brady-keir-starmer-football-bill/, Football isn’t broken and Starmer’s plan to fix it will create more problems
ANDY DILLON,Marinakis ref spat is so poor... the Forest chief is undoing all his hard work,https://www.thesun.co.uk/sport/31297516/marinakis-ref-spat-andy-dillon-forest/, Marinakis ref spat is so poor... the Forest chief is undoing all his hard work
