Titles,Subtitle,Link,Data Headline
ARISE SIR GARETH,Southgate set for knighthood as he's CLEARED over controversial tax scheme,https://www.thesun.co.uk/sport/31329929/gareth-southgate-knighthood-tax-scheme-cleared/, Southgate set for knighthood as he's CLEARED over controversial tax scheme
GONNERS,"Arsenal's title hopes are OVER if they lose to Liverpool, warns Gunners icon Adams",https://www.thesun.co.uk/sport/31331543/arsenal-title-hopes-liverpool-tony-adams/," Arsenal's title hopes are OVER if they lose to Liverpool, warns Gunners icon Adams"
MO LIKE IT,Liverpool fighting Chelsea for £50m-rated ‘new Salah’ who’s outscoring Kane,https://www.thesun.co.uk/sport/31329303/liverpool-chelsea-mo-salah-omar-marmoush/, Liverpool fighting Chelsea for £50m-rated ‘new Salah’ who’s outscoring Kane
'HEARTBREAKING',"MLS goalkeeper Holden Trent, 25, dies suddenly as tributes pour in",https://www.thesun.co.uk/sport/31331215/holden-trent-dead-philadelphia-union-goalkeeper/," MLS goalkeeper Holden Trent, 25, dies suddenly as tributes pour in"
TOP DEALS,The best 10 online casino sites for welcome offers and free spins,https://www.thesun.co.uk/betting/30333826/top-10-casino-sites-free-spins-deposit-bonus/, The best 10 online casino sites for welcome offers and free spins
BRENTFORD 4 IPSWICH 3,Bryan Mbeumo breaks Tractor Boys' hearts with 96th-minute winner,https://www.thesun.co.uk/sport/31327541/brentford-ipswich-mbeumo-delap/, Bryan Mbeumo breaks Tractor Boys' hearts with 96th-minute winner
MAN CITY 1 SAINTS 0,Champions go top of Prem table but made to work hard against strugglers,https://www.thesun.co.uk/sport/31327536/man-city-southampton-premier-league-erling-haaland/, Champions go top of Prem table but made to work hard against strugglers
BRIGHTON 2 WOLVES 2,Seagulls throw away two-goal lead as late goals could save O'Neil's job,https://www.thesun.co.uk/sport/31327445/brighton-2-wolves-2-welbeck-oneil/, Seagulls throw away two-goal lead as late goals could save O'Neil's job
EVERTON 1 FULHAM 1,Beto breaks down in tears on pitch after last-gasp equaliser vs Fulham,https://www.thesun.co.uk/sport/31329405/everton-fulham-alex-iwobi/, Beto breaks down in tears on pitch after last-gasp equaliser vs Fulham
ASTON VILLA 1 BOURNEMOUTH 1,Cherries equalise with 10 SECONDS to go to send fans wild,https://www.thesun.co.uk/sport/31327623/aston-villa-bournemouth-cherries-evanilson-goal-10-seconds/, Cherries equalise with 10 SECONDS to go to send fans wild
HE'S A KEEPER,"Prem cult hero, 40, has 'Prime Buffon appearance’ that leaves Messi stunned",https://www.thesun.co.uk/sport/31328237/lionel-messi-brad-guzan-inter-miami-atlanta/," Prem cult hero, 40, has 'Prime Buffon appearance’ that leaves Messi stunned"
CALAMITY CLARKE,Ipswich ace drops 'worst display in Prem history' with unwanted hat-trick,https://www.thesun.co.uk/sport/31329195/ipswich-red-card-own-goal-penalty/, Ipswich ace drops 'worst display in Prem history' with unwanted hat-trick
ON THE RISE,I’m a baker who tricked Ugarte into signing… he was destined for big dough,https://www.thesun.co.uk/sport/31330241/manuel-ugarte-baker-man-utd/, I’m a baker who tricked Ugarte into signing… he was destined for big dough
COME FLY WITH ME,Championship clash temporarily suspended after man flies over stadium,https://www.thesun.co.uk/sport/31326294/championship-suspended-person-flying-over-stadium/, Championship clash temporarily suspended after man flies over stadium
LIN HIS PLACE,Gary Lineker has 'ready-made replacement' already working for BBC if he quits,https://www.thesun.co.uk/sport/31326669/gary-lineker-replacement-match-of-the-day-mark-chapman/, Gary Lineker has 'ready-made replacement' already working for BBC if he quits
BECK ON THE CHEEK,David Beckham plants kiss on cheek of daughter Harper at Inter Miami game,https://www.thesun.co.uk/sport/31325592/david-beckham-harper-inter-miami/, David Beckham plants kiss on cheek of daughter Harper at Inter Miami game
TOO VAR-D TO CALL,Mike Dean puzzled as Villa goal overturned in controversial circumstances,https://www.thesun.co.uk/sport/31327498/var-mike-dean-aston-villa-goal-controversial/, Mike Dean puzzled as Villa goal overturned in controversial circumstances
NOT FIT TO REFEREE,Wrexham clash delayed due to referee injury as fans sing brutal chant,https://www.thesun.co.uk/sport/31327168/wrexham-charlton-referee-injured-chant-substitution/, Wrexham clash delayed due to referee injury as fans sing brutal chant
TEEN DREAM,Ex-Arsenal star who quit to join Man Utd gets hat-trick after goal 11 seconds in,https://www.thesun.co.uk/sport/31325768/chido-obi-martin-11-seconds-hattrick-man-utd-arsenal/, Ex-Arsenal star who quit to join Man Utd gets hat-trick after goal 11 seconds in
R DIVISION,Win a VW Tiguan plus £10k or £40k cash alternative from just 22p with our code,https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/, Win a VW Tiguan plus £10k or £40k cash alternative from just 22p with our code
YOU'RE WELCOME,talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/, talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football
TOTELY GREAT,Get £40 welcome bonus when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/, Get £40 welcome bonus when you stake £10 on football with Tote
MEGA MGM,Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM,https://www.thesun.co.uk/sport/28311103/betmgm-free-bets-football-bonus-offer/, Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM
TRAIN WRECK,Terrifying moment thugs launch firecrackers at train filled with rival fans,https://www.thesun.co.uk/sport/31326252/football-thugs-firecrackers-stones-train-rival-supporters/, Terrifying moment thugs launch firecrackers at train filled with rival fans
WAT-ER DISASTER,Championship stars get early shower as sprinklers turned on mid-match,https://www.thesun.co.uk/sport/31327138/championship-sprinklers-sunderland-oxford/, Championship stars get early shower as sprinklers turned on mid-match
LAUR KIDDING,Laura Woods blasts 'we don't look part' & says Arsenal not 'main title rivals',https://www.thesun.co.uk/sport/31324617/laura-woods-tnt-sports-arsenal-man-city-liverpool/, Laura Woods blasts 'we don't look part' & says Arsenal not 'main title rivals'
SKY'S THE LIMIT,I was driving into work and decided not to sign my Sky Sports contract,https://www.thesun.co.uk/sport/31326508/kelly-cates-sky-sports/, I was driving into work and decided not to sign my Sky Sports contract
MIKE BE IT,Fans fume at '7 seconds of horror' as Newcastle hero's job turns into disaster,https://www.thesun.co.uk/sport/31327619/fans-meltdown-seven-seconds-horror-carlisle-cheltenham-mike-williamson/, Fans fume at '7 seconds of horror' as Newcastle hero's job turns into disaster
END OF THE ROAD,Uefa issue two referees with huge bans after drunkenly taking road sign,https://www.thesun.co.uk/sport/31325783/uefa-referees-arrested-bans-champions-league/, Uefa issue two referees with huge bans after drunkenly taking road sign
'I IGNORE THAT',Deluded Ten Hag admits he’s in DENIAL about one Man Utd loss this season,https://www.thesun.co.uk/sport/31323984/erik-ten-hag-man-utd-loss-season/, Deluded Ten Hag admits he’s in DENIAL about one Man Utd loss this season
WHAT THE EFL,Lincoln star reveals team hid physio's car in prank & fan offered him 'scrap',https://www.thesun.co.uk/sport/31318620/ethan-erhahon-efl-lincoln-physio-car-prank/, Lincoln star reveals team hid physio's car in prank & fan offered him 'scrap'
HITTING BACK,"'What happened?', asks Jackson as he and Salah snubbed for African POTY list",https://www.thesun.co.uk/sport/31318809/nicolas-jackson-chelsea-mohamed-salah-liverpool-boniface-kudus/," 'What happened?', asks Jackson as he and Salah snubbed for African POTY list"
ROLEY,"Win a stunning Rolex 'Bruce Wayne' or £12,000 cash alternative from just 22p",https://www.thesun.co.uk/sport/18922011/win-watch-7dp/," Win a stunning Rolex 'Bruce Wayne' or £12,000 cash alternative from just 22p"
UPTURN,Haaland and Salah only forwards who average more points-per-game than Jackson,https://www.thesun.co.uk/sport/football/dream-team/31258055/nicolas-jackson-points-fantasy-football-premier-league-chelsea/, Haaland and Salah only forwards who average more points-per-game than Jackson
TOP GUN,Bukayo Saka's evolution into creative juggernaut sets him apart from rivals,https://www.thesun.co.uk/sport/football/dream-team/30912365/bukayo-saka-assists-chances-created-fantasy-football-arsenal/, Bukayo Saka's evolution into creative juggernaut sets him apart from rivals
QUIDS IN,"7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!",https://www.thesun.co.uk/sport/football/dream-team/29884801/fantasy-football-prizes-score-predictor-last-man-standing/," 7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!"
GROUND DESIGNS,"Inside Forest's 50,000-seater plan for 'one of England's best stadiums'",https://www.thesun.co.uk/sport/31305692/nottingham-forest-new-stadium-marinakis/," Inside Forest's 50,000-seater plan for 'one of England's best stadiums'"
SUPER MARIO,"Mario Balotelli, 34, close to shock Serie A return after four months unemployed",https://www.thesun.co.uk/sport/31317843/mario-balotelli-genoa-transfer-news-man-city-liverpool/," Mario Balotelli, 34, close to shock Serie A return after four months unemployed"
HE BLUE IT,Forgotten ex-Chelsea boss banished two Prem-winning heroes to train on their own,https://www.thesun.co.uk/sport/31326946/chelsea-manager-villas-boas-anelka-alex-train-statement/, Forgotten ex-Chelsea boss banished two Prem-winning heroes to train on their own
COVER BLOWN,Ex-Prem ref warns Arsenal officials have cottoned on to their secret weapon,https://www.thesun.co.uk/sport/31309347/walton-premier-league-referee-arsenal-title-blow/, Ex-Prem ref warns Arsenal officials have cottoned on to their secret weapon
TOP £10,The best online casinos for free spins and bonuses from £10 deposits,https://www.thesun.co.uk/betting/30944508/best-online-casino-free-spins-bonuses-10-deposits/, The best online casinos for free spins and bonuses from £10 deposits
CASE CLOSED,Best online casinos as rated by the real expert for UK players right NOW,https://www.thesun.co.uk/betting/20803800/best-online-casinos-uk/, Best online casinos as rated by the real expert for UK players right NOW
SPIN TO WIN,Join Sun Vegas and get a £30 live casino bonus plus 50 golden chips,https://www.thesun.co.uk/sun-bingo/25321231/welcome-offer-sun-live-roulette-table-bonus/, Join Sun Vegas and get a £30 live casino bonus plus 50 golden chips
IT'S PAY DAY!,Highest payout online casinos AND the fastest paying sites in UK revealed,https://www.thesun.co.uk/betting/22917511/highest-payout-casinos-uk/, Highest payout online casinos AND the fastest paying sites in UK revealed
XAV A LOOK,Three ways Man Utd could line up under Xavi with star Ten Hag was desperate for,https://www.thesun.co.uk/sport/31257019/man-utd-line-up-xavi-transfer-ten-hag-target/, Three ways Man Utd could line up under Xavi with star Ten Hag was desperate for
